Month;Day;measurement;reading
5;1;Ozone;41.0
5;2;Ozone;36.0
5;3;Ozone;12.0
5;4;Ozone;18.0
5;5;Ozone;NaN
5;6;Ozone;28.0
5;7;Ozone;23.0
5;8;Ozone;19.0
5;9;Ozone;8.0
5;10;Ozone;NaN
5;11;Ozone;7.0
5;12;Ozone;16.0
5;13;Ozone;11.0
5;14;Ozone;14.0
5;15;Ozone;18.0
5;16;Ozone;14.0
5;17;Ozone;34.0
5;18;Ozone;6.0
5;19;Ozone;30.0
5;20;Ozone;11.0
5;21;Ozone;1.0
5;22;Ozone;11.0
5;23;Ozone;4.0
5;24;Ozone;32.0
5;25;Ozone;NaN
5;26;Ozone;NaN
5;27;Ozone;NaN
5;28;Ozone;23.0
5;29;Ozone;45.0
5;30;Ozone;115.0
9;1;Temp;91.0
9;2;Temp;92.0
9;3;Temp;93.0
9;4;Temp;93.0
9;5;Temp;87.0
9;6;Temp;84.0
9;7;Temp;80.0
9;8;Temp;78.0
9;9;Temp;75.0
9;10;Temp;73.0
9;11;Temp;81.0
9;12;Temp;76.0
9;13;Temp;77.0
9;14;Temp;71.0
9;15;Temp;71.0
9;16;Temp;78.0
9;17;Temp;67.0
9;18;Temp;76.0
9;19;Temp;68.0
9;20;Temp;82.0
9;21;Temp;64.0
9;22;Temp;71.0
9;23;Temp;81.0
9;24;Temp;69.0
9;25;Temp;63.0
9;26;Temp;70.0
9;27;Temp;77.0
9;28;Temp;75.0
9;29;Temp;76.0
9;30;Temp;68.0
5;1;Ozone;53.3
5;2;Ozone;46.8
5;3;Ozone;15.6
5;4;Ozone;23.4
5;5;Ozone;NaN
5;6;Ozone;36.4
5;7;Ozone;29.9
5;8;Ozone;24.7
5;9;Ozone;10.4
5;10;Ozone;NaN
5;11;Ozone;9.1
5;12;Ozone;20.8
5;13;Ozone;14.3
5;14;Ozone;18.2
5;15;Ozone;23.4
5;16;Ozone;18.2
5;17;Ozone;44.2
5;18;Ozone;7.8
5;19;Ozone;39.0
5;20;Ozone;14.3
5;21;Ozone;1.3
5;22;Ozone;14.3
5;23;Ozone;5.2
5;24;Ozone;41.6
5;25;Ozone;NaN
5;26;Ozone;NaN
5;27;Ozone;NaN
5;28;Ozone;29.9
5;29;Ozone;58.5
5;30;Ozone;149.5
9;1;Temp;118.3
9;2;Temp;119.6
9;3;Temp;120.9
9;4;Temp;120.9
9;5;Temp;113.1
9;6;Temp;109.2
9;7;Temp;104.0
9;8;Temp;101.4
9;9;Temp;97.5
9;10;Temp;94.9
9;11;Temp;105.3
9;12;Temp;98.8
9;13;Temp;100.1
9;14;Temp;92.3
9;15;Temp;92.3
9;16;Temp;101.4
9;17;Temp;87.1
9;18;Temp;98.8
9;19;Temp;88.4
9;20;Temp;106.6
9;21;Temp;83.2
9;22;Temp;92.3
9;23;Temp;105.3
9;24;Temp;89.7
9;25;Temp;81.9
9;26;Temp;91.0
9;27;Temp;100.1
9;28;Temp;97.5
9;29;Temp;98.8
9;30;Temp;88.4
