periodo,AL-Urgencias,BR-Vuelos-no-FCR,CO-Ona-+-Hoteles,CO-Vuelos-no-FCR,FCR-Cambios,FCR-Reprogramaciones,GR-BR-VUELOS-FCR,TP-BR-Multi,TP-Urgencias
C_5a15,25,14,8,26,19,10,20,18,0
C_15a25,20,7,6,35,19,9,14,20,0
C_25a35,17,12,16,27,12,5,29,19,0
C_35a45,13,12,8,45,11,8,28,23,7
C_45a55,9,10,8,51,12,5,25,27,3
C_55a65,12,12,12,41,11,6,27,17,3
C_65a75,4,12,11,53,12,4,28,24,0
C_75a85,7,14,17,56,16,2,19,25,0
C_85a95,7,7,22,55,18,4,27,18,0
C_95a105,4,19,13,46,19,5,29,13,1
C_105a115,6,8,12,52,22,6,18,21,0
C_115a125,5,5,12,45,18,1,23,21,0
C_125a135,4,4,9,44,18,3,10,20,0
C_135a145,2,7,15,53,17,4,3,15,0
C_145a155,4,2,13,56,20,6,3,19,1
C_155a165,4,4,17,62,16,3,16,13,0
C_165a175,8,1,4,28,21,4,6,18,0
C_175a185,2,3,14,42,11,4,5,14,0
C_185a195,2,2,8,35,22,3,7,5,0
C_195a205,4,5,10,42,14,5,8,17,0
C_205a215,2,6,4,43,14,7,5,23,0
C_215a225,4,4,13,33,14,4,7,14,0
C_225a235,2,2,8,26,13,3,3,13,1
C_235a245,1,0,11,27,6,4,4,10,0
C_245a255,1,2,6,40,6,4,3,11,0
C_255a265,0,3,8,25,8,3,2,9,1
C_265a275,5,1,4,19,4,1,3,8,0
C_275a285,3,1,3,16,7,2,2,8,0
C_285a295,3,5,6,19,5,1,2,10,0
C_295a305,1,4,10,21,9,2,1,9,0
C_305a315,1,2,4,18,9,4,5,7,0
C_315a325,2,0,8,7,9,3,2,9,0
C_325a335,0,1,10,17,3,1,3,6,0
C_335a345,1,2,6,15,3,2,2,4,0
C_345a355,1,1,9,12,8,1,2,3,0
C_355a365,0,2,7,7,1,1,1,6,0
C_365a375,1,0,4,9,7,3,1,3,0
C_375a385,2,0,6,11,3,1,1,5,0
C_385a395,2,1,7,9,2,0,2,2,0
C_395a405,0,1,5,6,2,3,0,3,0
C_405a415,2,1,4,5,0,1,2,3,0
C_415a425,1,0,3,9,2,0,2,4,0
C_425a435,1,0,5,11,1,0,1,4,0
C_435a445,2,0,4,5,3,0,3,0,0
C_445a455,1,1,1,4,1,2,0,0,0
C_455a465,1,1,2,6,1,0,1,0,0
C_465a475,3,0,1,7,1,1,2,4,0
C_475a485,0,3,4,2,5,0,0,1,0
C_485a495,0,1,3,3,0,1,1,1,0
C_495a505,0,0,3,4,0,0,0,2,0
C_505a515,1,1,4,4,0,1,0,3,0
C_515a525,0,0,2,1,0,0,0,1,0
C_525a535,1,0,3,2,2,1,0,2,0
C_535a545,0,1,1,2,0,0,0,0,0
C_545a555,3,1,2,3,0,2,0,1,0
C_555a565,1,1,2,1,1,2,2,1,0
C_565a575,0,0,2,3,0,0,2,2,0
C_575a585,3,1,1,2,0,2,0,0,0
C_585a595,0,0,2,4,0,0,0,0,0
C_595a605,0,1,1,2,1,0,2,0,0
C_605a615,0,0,1,2,0,0,0,0,0
C_615a625,0,0,1,3,1,1,0,2,1
C_625a635,0,0,2,2,0,0,0,3,0
